Luminosity,Temperature,Humidity,Infrared,Distance,CreatedAt,IsAlarm
42.29,32.5,42,25,47.8,09/09/2020 08:18:40,No
46.19,32.18,42,26,50.02,09/09/2020 08:18:41,No
37.11,32.18,42,23,49.91,09/09/2020 08:18:42,No
57.03,32.5,48,24,65,09/09/2020 08:18:43,No
94.14,32.5,48,24,49.1,09/09/2020 08:18:44,No
82.81,34.11,48,25,53.59,09/09/2020 08:18:45,No
100,32.5,48,26,32,09/09/2020 08:18:46,No
36.82,32.5,48,23,23.36,09/09/2020 08:18:47,No
100,34.11,48,24,32,09/09/2020 08:18:48,No
33.59,32.18,48,24,22.17,09/09/2020 08:18:49,No
100,34.11,48,25,44,09/09/2020 08:18:50,No
42.29,32.18,48,26,25.41,09/09/2020 08:18:51,No
100,32.5,48,23,54,09/09/2020 08:18:52,No
34.67,32.5,48,24,49.57,09/09/2020 08:18:53,No
88.38,32.5,48,24,111,09/09/2020 08:18:54,No
48.24,32.18,48,25,22.17,09/09/2020 08:18:55,No
61.13,32.18,48,26,112,09/09/2020 08:18:56,No
68.46,32.18,48,23,28.33,09/09/2020 08:18:57,No
57.81,32.18,48,24,61.76,09/09/2020 08:18:58,No
95.31,32.5,48,24,113,09/09/2020 08:18:59,No
97.56,32.18,48,25,19.49,09/09/2020 08:19:00,No
74.41,32.5,45,26,57.95,09/09/2020 08:19:01,No
80.57,32.18,45,23,211,09/09/2020 08:19:02,No
88.28,32.5,45,24,60.42,09/09/2020 08:19:03,No
75.78,32.5,45,24,11,09/09/2020 08:19:04,No
58.2,32.18,45,25,20.8,09/09/2020 08:19:05,No
64.84,32.5,45,26,23,09/09/2020 08:19:06,No
85.84,32.5,45,23,62.4,09/09/2020 08:19:07,No
73.14,32.5,45,24,64.25,09/09/2020 08:19:08,No
91.31,32.5,45,24,64.26,09/09/2020 08:19:09,No
90.04,32.5,45,25,64.47,09/09/2020 08:19:10,No
79.79,32.5,42,26,64.22,09/09/2020 08:19:11,No
98.14,32.5,42,23,65.32,09/09/2020 08:19:12,No
72.07,32.5,42,24,64.47,09/09/2020 08:19:13,No
60.55,32.5,42,24,63.72,09/09/2020 08:19:14,No
63.96,32.5,42,25,64.98,09/09/2020 08:19:15,No
70.7,32.5,42,26,34,09/09/2020 08:19:16,No
64.94,32.5,42,23,17.1,09/09/2020 08:19:17,No
85.84,32.5,42,24,66.43,09/09/2020 08:19:18,No
85.16,32.5,42,24,66.31,09/09/2020 08:19:19,No
73.93,32.5,42,25,66.92,09/09/2020 08:19:20,No
76.76,32.5,42,26,400,09/09/2020 08:19:21,No
72.27,32.5,42,23,66.87,09/09/2020 08:19:22,No
69.24,32.5,42,24,65.89,09/09/2020 08:19:23,No
86.33,32.5,42,24,77,09/09/2020 08:19:24,No
78.81,32.18,48,25,19.25,09/09/2020 08:19:25,No
85.84,32.5,48,26,66,09/09/2020 08:19:26,No
100,32.18,48,23,16.5,09/09/2020 08:19:27,No
100,32.5,48,24,65.28,09/09/2020 08:19:28,No
72.07,32.5,48,24,66.73,09/09/2020 08:19:29,No
100,32.5,48,25,66.92,09/09/2020 08:19:30,No
79.69,32.5,48,26,65.26,09/09/2020 08:19:31,No
60.64,32.5,48,23,66.07,09/09/2020 08:19:32,No
91.41,32.5,48,24,66.28,09/09/2020 08:19:33,No
65.72,32.18,48,24,55,09/09/2020 08:19:34,No
61.33,32.5,48,25,22.83,09/09/2020 08:19:35,No
56.93,32.5,48,26,33,09/09/2020 08:19:36,No
43.65,32.5,48,23,4,09/09/2020 08:19:37,No
95.02,32.18,48,24,44,09/09/2020 08:19:38,No
71.48,32.18,48,24,13.73,09/09/2020 08:19:39,No
73.54,32.18,48,25,70.2,09/09/2020 08:19:40,No
72.66,32.18,48,26,55,09/09/2020 08:19:41,No
60.06,31.86,48,23,61.42,09/09/2020 08:19:42,No
56.35,31.86,45,24,61.91,09/09/2020 08:19:43,No
100,34.43,45,24,55,09/09/2020 08:19:44,No
100,34.43,45,25,61.46,09/09/2020 08:19:45,No
100,32,45,26,57.4,09/09/2020 08:19:46,No
100,32,45,23,59.4,09/09/2020 08:19:47,No
100,23,45,24,33,09/09/2020 08:19:48,No
100,23,45,24,49.92,09/09/2020 08:19:49,No
